circle,division,subdivision,section,area,totservices,billdservices,units,load,Year,Month,Date
SAROORNAGAR,CHAMPAPET,VANASTHALIPURAM,BN REDDY NAGAR,HASTINAPURAM CENTR,1,1.0,0.0,22.0,2021,7,2021-07-01
SAROORNAGAR,CHAMPAPET,CHAMPAPET,CHAMPAPET,CPT SOUTH,1,1.0,115.0,22.0,2021,7,2021-07-01
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,PEDDA AMBERPET,SAI COLONY,1,1.0,29.0,22.0,2021,7,2021-07-01
SAROORNAGAR,IBRAHIMPATNAM,TURKAYAMJAL,TURKAYAMZAL,NADELGUL,1,1.0,36.0,30.0,2021,7,2021-07-01
SECUNDERABAD,SECUNDERABAD,LALBAZAR,BOLLARUM,GRC HIGH VALUE (GRP-M),1,1.0,648.0,10.0,2021,7,2021-07-01
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,GRC. SHYAMLAL,1,1.0,85.0,22.0,2021,8,2021-08-01
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,GRC HIGH VALUES,1,1.0,36.0,15.0,2021,8,2021-08-01
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,HIGHVALUE,1,1.0,1079.0,50.0,2021,8,2021-08-01
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,PRAGATHINAGAR-1,1,1.0,32.0,8.0,2021,8,2021-08-01
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,CHANDA NAGAR,MADINAGUDA HV,1,1.0,0.0,22.0,2021,8,2021-08-01
CYBERCITY,KONDAPUR,KONDAPUR,ALLAPUR,SOCIETY HV2,1,1.0,0.0,15.0,2021,8,2021-08-01
HABSIGUDA,HABSIGUDA,HABSIGUDA,NACHARAM,NACHARAM,1,1.0,0.0,15.0,2021,8,2021-08-01
HABSIGUDA,KEESARA,GHATKESAR,GHATKESAR,GHATKESAR,1,1.0,20.0,30.0,2021,8,2021-08-01
HYDERABAD CENTRAL,SAIFABAD,SAIFABAD,SOMAJIGUDA,30-NO AREA,1,1.0,248.0,22.0,2021,8,2021-08-01
