circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,GRC. SHYAMLAL,EV CHARGING STATIONS,9,1,1.0,2945.0,22.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,I.A.L.COLONY,EV CHARGING STATIONS,9,1,1.0,788.0,10.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,GRC HV GREENLANDS,EV CHARGING STATIONS,9,1,1.0,364.0,10.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,NEW ERRAGADDA,EV CHARGING STATIONS,9,1,1.0,3340.0,9.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,CT METERS-GRC,EV CHARGING STATIONS,9,1,1.0,460.0,54.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,PRAGATHINAGAR-1,EV CHARGING STATIONS,9,1,1.0,77.0,8.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,"CHURCH GULLY,MLA COLONY,APOLO",EV CHARGING STATIONS,9,1,1.0,2221.0,55.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,GRC HIGH VALUES,EV CHARGING STATIONS,9,1,1.0,340.0,15.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,HV ROAD 22 TO 35,EV CHARGING STATIONS,9,1,1.0,0.0,50.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,"JENCLAVE, GAFOOR,VITTAL NAGAR",EV CHARGING STATIONS,9,1,1.0,2303.0,20.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,KAVURI HILLS,EV CHARGING STATIONS,9,1,1.0,747.0,54.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,"VITTAL RAO NAGAR,GAFOORNAGAR",EV CHARGING STATIONS,9,2,2.0,45.0,3.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,TARANAGAR,TARA NAGAR HV,EV CHARGING STATIONS,9,1,1.0,0.0,54.0
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,CHANDA NAGAR,CHANDANAGAR-HV,EV CHARGING STATIONS,9,1,1.0,1185.0,22.0
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,MIYAPUR HV,EV CHARGING STATIONS,9,2,1.0,1536.0,95.0
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,VASANTH NAGAR,GOPALA NAGAR,EV CHARGING STATIONS,9,1,1.0,677.0,5.0
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,VASANTH NAGAR,PRAJAY MEGAPOLIS PVT LTD,EV CHARGING STATIONS,9,2,2.0,185.0,4.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,HV GACHIBOWLI,EV CHARGING STATIONS,9,1,1.0,0.0,54.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,NANAKRAMGUDA-2,EV CHARGING STATIONS,9,1,1.0,2540.0,45.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,TARANAGAR,CHANDA NAGAR HV,EV CHARGING STATIONS,9,1,1.0,0.0,54.0
CYBERCITY,KONDAPUR,KONDAPUR,ALLAPUR,SOCIETY H.V ,EV CHARGING STATIONS,9,1,1.0,18.0,15.0
CYBERCITY,KONDAPUR,KONDAPUR,KONDAPUR,SHILPA VALLY,EV CHARGING STATIONS,9,1,1.0,0.0,5.0
CYBERCITY,KONDAPUR,KONDAPUR,WHITE FIELD,GACHIBOWLI,EV CHARGING STATIONS,9,1,,0.0,54.0
CYBERCITY,KONDAPUR,KPHB,BALAJI NAGAR,MOOSAPET,EV CHARGING STATIONS,9,1,1.0,5704.0,5.0
CYBERCITY,KONDAPUR,KPHB,BALAJI NAGAR,VIVEKNAGAR,EV CHARGING STATIONS,9,1,1.0,391.0,5.0
