circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,GRC HV GREENLANDS,EV CHARGING STATIONS,9,1,1.0,371,10.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,NEW ERRAGADDA-BANJARA NAGAR,EV CHARGING STATIONS,9,1,1.0,4758,25.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,GRC HV MOTINAGAR,EV CHARGING STATIONS,9,1,1.0,169,11.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,CT METERS,EV CHARGING STATIONS,9,1,1.0,5931,53.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,CT METERS,EV CHARGING STATIONS,9,3,3.0,15191,161.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,"GRC - P.GADDA, P.NAGAR",EV CHARGING STATIONS,9,1,1.0,676,10.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,GRC. SHYAMLAL,EV CHARGING STATIONS,9,1,1.0,820,22.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,GRC-JUBILEE HILLS &FILM NAGAR ,EV CHARGING STATIONS,9,2,2.0,3428,109.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,CT METERS-GRC,EV CHARGING STATIONS,9,3,3.0,6245,162.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,GRC HIGH VALUES,EV CHARGING STATIONS,9,1,1.0,7584,53.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,GRC HV BORABANDA,EV CHARGING STATIONS,9,1,,0,53.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,"JAYABHERI ENCLAVE, OFFI BESIDE",EV CHARGING STATIONS,9,4,3.0,29404,182.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,KAVURI HILLS,EV CHARGING STATIONS,9,1,1.0,6619,54.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,"VITTAL RAO NAGAR,GAFOORNAGAR",EV CHARGING STATIONS,9,2,2.0,0,3.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,PRAGATHINAGAR-1,EV CHARGING STATIONS,9,1,1.0,92,8.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,HV ROAD 22 TO 35,EV CHARGING STATIONS,9,1,1.0,0,50.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,HV ROAD NO 56 TO 68 & 10 TO 22,EV CHARGING STATIONS,9,2,2.0,24,69.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,HV ROAD NO 2 AND 3,EV CHARGING STATIONS,9,2,2.0,1384,108.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,"HV ROAD NO 7,8,9,10 AND 11",EV CHARGING STATIONS,9,1,1.0,4050,54.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,GRC HIGH VALUES RDNO-12&13 BAN,EV CHARGING STATIONS,9,1,1.0,0,54.0
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,IBRAHIMBAGH,LAKSHMI NAGAR,EV CHARGING STATIONS,9,1,1.0,832,7.0
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,IBRAHIMBAGH,POKALWADA,EV CHARGING STATIONS,9,1,1.0,14021,55.0
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,NARSINGI,IBRAHIMBAGH,EV CHARGING STATIONS,9,1,1.0,623,54.0
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,NARSINGI,RAMDEVGUDA,EV CHARGING STATIONS,9,1,1.0,60,54.0
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,MIYAPUR HV,EV CHARGING STATIONS,9,2,1.0,2631,98.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,TARANAGAR,TARANAGAR GOVT,EV CHARGING STATIONS,9,3,3.0,12247,161.0
CYBERCITY,KONDAPUR,KONDAPUR,ALLAPUR,H.V,EV CHARGING STATIONS,9,1,1.0,2456,53.0
CYBERCITY,KONDAPUR,KONDAPUR,ALLAPUR,"H.V AYYAPPA,GURUKUL,THANDA",EV CHARGING STATIONS,9,1,1.0,144,15.0
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,VASANTH NAGAR,GOPALA NAGAR,EV CHARGING STATIONS,9,1,1.0,2962,5.0
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,VASANTH NAGAR,PRAJAY MEGAPOLIS PVT LTD,EV CHARGING STATIONS,9,2,2.0,0,4.0
CYBERCITY,KONDAPUR,KONDAPUR,KONDAPUR,HV,EV CHARGING STATIONS,9,1,1.0,0,20.0
CYBERCITY,KONDAPUR,KONDAPUR,KONDAPUR,HV-3,EV CHARGING STATIONS,9,2,1.0,17565,103.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,CT TELECOMNAGAR,EV CHARGING STATIONS,9,1,,0,54.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,CT-APHB COLONY,EV CHARGING STATIONS,9,6,6.0,43323,300.0
CYBERCITY,KONDAPUR,KONDAPUR,KONDAPUR,RAGHAVENDRA CLNY,EV CHARGING STATIONS,9,1,1.0,722,9.0
CYBERCITY,KONDAPUR,KONDAPUR,KONDAPUR,SHILPA VALLY,EV CHARGING STATIONS,9,1,1.0,0,5.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,HV GACHIBOWLI,EV CHARGING STATIONS,9,1,,0,54.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,HV GOWLI DODDI,EV CHARGING STATIONS,9,1,1.0,3822,55.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,HV KHAJAGUDA,EV CHARGING STATIONS,9,1,1.0,0,54.0
CYBERCITY,KONDAPUR,KONDAPUR,WHITE FIELD,GACHIBOWLI,EV CHARGING STATIONS,9,1,1.0,4060,54.0
CYBERCITY,KONDAPUR,KONDAPUR,WHITE FIELD,HV WHITEFIELD,EV CHARGING STATIONS,9,1,1.0,0,52.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,HV NANAKRAMGUDA,EV CHARGING STATIONS,9,1,1.0,15,54.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,JOURNALIST COLONY ,EV CHARGING STATIONS,9,1,1.0,1195,5.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,NANAKRAMGUDA-2,EV CHARGING STATIONS,9,2,2.0,5764,57.0
CYBERCITY,KONDAPUR,KPHB,BALAJI NAGAR,BALAJINAGAR CT METERS,EV CHARGING STATIONS,9,1,1.0,11957,56.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,NALLAGANDLA,GULMOHAR & DUBE COLONY,EV CHARGING STATIONS,9,1,1.0,5012,54.0
